F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,01,C Barron,30,8,180,Running
2,1,25,T Barron,30,11,180,Running
3,17,6,M Martin,30,9,170,Running
4,4,24,J Gordon,30,0,160,Running
5,12,99,J Burton,30,0,155,Running
6,5,18,B Labonte,30,2,155,Running
7,11,2,R Wallace,30,0,146,Running
8,14,12,J Mayfield,30,0,142,Running
9,15,88,D Jarrett,30,0,138,Running
10,25,11,B Bodine,30,0,134,Running
11,6,43,J Andretti,30,0,130,Running
12,21,30,D Cope,30,0,127,Running
13,31,26,J Benson Jr.,30,0,124,Running
14,30,59,M Gibson,30,0,121,Running
15,18,22,W Burton,30,0,118,Running
16,16,10,R Rudd,30,0,115,Running
17,7,33,K Schrader,30,0,112,Running
18,19,77,R Pressley,30,0,109,Running
19,29,28,K Irwin Jr.,30,0,106,Running
20,20,75,R Mast,30,0,103,Running
21,36,31,M Skinner,30,0,100,Running
22,10,40,S Marlin,30,0,97,Running
23,27,42,J Nemechek,30,0,94,Running
24,22,50,R Craven,30,0,91,Running
25,32,9,L Speed,29,0,88,Running
26,34,1,S Park,29,0,85,Running
27,3,94,B Elliott,29,0,82,Running
28,38,16,T Musgrave,29,0,79,Running
29,39,7,G Bodine,29,0,76,Running
30,23,98,G Sacks,29,0,73,Running
31,35,44,K Petty,29,0,70,Running
32,37,35,T Bodine,29,0,67,Running
33,24,97,C Little,29,0,64,Running
34,33,21,M Waltrip,29,0,61,Running
35,9,4,B Hamilton,21,0,58,Accident
36,8,3,D Earnhardt,21,0,55,Accident
37,13,5,T Labonte,21,0,52,Accident
38,26,23,J Spencer,19,0,49,Accident
39,28,36,E Irvan,1,0,46,Accident
