F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,5,25,T Barron,30,22,185,Running
2,42,02,C Barron,30,0,170,Running
3,4,12,R Newman,30,0,165,Running
4,12,48,J Johnson,30,0,160,Running
5,3,2,R Wallace,30,4,160,Running
6,9,24,J Gordon,30,3,155,Running
7,7,20,T Stewart,30,0,146,Running
8,1,6,M Martin,30,0,142,Running
9,15,99,J Burton,30,0,138,Running
10,6,17,M Kenseth,30,1,139,Running
11,13,97,K Busch,30,0,130,Running
12,10,40,S Marlin,30,0,127,Running
13,11,28,R Rudd,30,0,124,Running
14,2,88,D Jarrett,30,0,121,Running
15,18,32,R Craven,30,0,118,Running
16,25,77,D Blaney,30,0,115,Running
17,21,5,T Labonte,30,0,112,Running
18,8,45,K Petty,30,0,109,Running
19,17,9,B Elliott,29,0,106,Running
20,39,8,D Earnhardt Jr.,29,0,103,Running
21,16,29,K Harvick,29,0,100,Running
22,37,15,M Waltrip,29,0,97,Running
23,27,21,E Sadler,29,0,94,Running
24,24,31,R Gordon,29,0,91,Running
25,19,18,B Labonte,29,0,88,Running
26,30,22,W Burton,29,0,85,Running
27,26,1,S Park,29,0,82,Running
28,20,41,J Spencer,29,0,79,Running
29,28,55,B Hamilton,29,0,76,Running
30,32,36,K Schrader,29,0,73,Running
31,31,4,M Skinner,29,0,70,Running
32,23,10,J Benson,29,0,67,Running
33,29,19,J Mayfield,29,0,64,Running
34,22,43,J Andretti,29,0,61,Running
35,34,7,C Atwood,29,0,58,Running
36,33,26,T Bodine,29,0,55,Running
37,38,23,H Stricklin,29,0,52,Running
38,36,14,S Compton,29,0,49,Running
39,35,11,B Bodine,29,0,46,Running
40,41,67,B Said,29,0,43,Running
41,40,09,G Bodine,28,0,40,Running
42,14,30,J Green,22,0,37,Gearbox
