F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,25,T Barron,45,30,185,Running
2,3,02,C Barron,45,14,175,Running
3,5,97,K Busch,45,0,165,Running
4,8,2,R Wallace,45,0,160,Running
5,7,6,M Martin,45,0,155,Running
6,1,12,R Newman,45,0,150,Running
7,4,24,J Gordon,45,1,151,Running
8,25,48,J Johnson,45,0,142,Running
9,17,17,M Kenseth,45,0,138,Running
10,9,77,D Blaney,45,0,134,Running
11,18,21,E Sadler,45,0,130,Running
12,35,88,D Jarrett,45,0,127,Running
13,16,20,T Stewart,45,0,124,Running
14,12,8,D Earnhardt Jr.,45,0,121,Running
15,23,28,R Rudd,45,0,118,Running
16,13,30,J Green,45,0,115,Running
17,14,9,B Elliott,45,0,112,Running
18,27,29,K Harvick,45,0,109,Running
19,36,45,K Petty,45,0,106,Running
20,15,10,J Benson,45,0,103,Running
21,6,99,J Burton,45,0,100,Running
22,24,5,T Labonte,45,0,97,Running
23,19,31,R Gordon,45,0,94,Running
24,40,19,J Mayfield,45,0,91,Running
25,21,18,B Labonte,45,0,88,Running
26,31,41,J Spencer,45,0,85,Running
27,26,32,R Craven,45,0,82,Running
28,29,55,B Hamilton,45,0,79,Running
29,30,40,S Marlin,45,0,76,Running
30,22,1,S Park,45,0,73,Running
31,11,22,W Burton,44,0,70,Running
32,34,43,J Andretti,44,0,67,Running
33,20,36,K Schrader,44,0,64,Running
34,32,4,M Skinner,44,0,61,Running
35,10,15,M Waltrip,44,0,58,Running
36,28,26,T Bodine,44,0,55,Running
37,39,7,C Atwood,44,0,52,Running
38,33,11,B Bodine,44,0,49,Running
39,37,23,K Wallace,44,0,46,Running
40,38,14,S Compton,44,0,43,Running
41,42,44,B Jones,44,0,40,Running
42,41,49,S Robinson,44,0,37,Running
