F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,29,26,J Benson Jr.,56,2,180,Running
2,17,3,D Earnhardt,56,0,170,Running
3,12,5,T Labonte,56,0,165,Running
4,8,2,R Wallace,56,0,160,Running
5,13,23,J Spencer,56,0,155,Running
6,7,43,J Andretti,56,0,150,Running
7,3,88,D Jarrett,56,20,156,Running
8,2,25,T Barron,56,7,147,Running
9,41,01,C Barron,56,0,138,Running
10,20,18,B Labonte,56,0,134,Running
11,23,90,D Trickle,56,0,130,Running
12,26,16,T Musgrave,56,0,127,Running
13,16,22,W Burton,56,0,124,Running
14,37,96,D Green,56,0,121,Running
15,5,12,J Mayfield,55,8,123,Running
16,1,24,J Gordon,55,19,120,Running
17,18,10,R Rudd,55,0,112,Running
18,33,41,S Grissom,55,0,109,Running
19,19,94,B Elliott,55,0,106,Running
20,30,30,D Cope,55,0,103,Running
21,35,75,R Mast,55,0,100,Running
22,15,40,S Marlin,55,0,97,Running
23,11,44,K Petty,55,0,94,Running
24,28,7,G Bodine,53,0,91,Running
25,25,28,K Irwin Jr.,49,0,88,Accident
26,14,1,S Park,45,0,85,Retired
27,6,42,J Nemechek,45,0,82,Camshaft
28,31,50,R Craven,44,0,79,Retired
29,22,33,K Schrader,44,0,76,Retired
30,39,91,K Lepage,44,0,73,Camshaft
31,9,99,J Burton,44,0,70,Accident
32,40,21,M Waltrip,43,0,67,Accident
33,24,4,B Hamilton,43,0,64,Accident
34,42,11,B Bodine,25,0,61,Retired
35,4,6,M Martin,25,0,58,Piston
36,10,97,C Little,25,0,55,Accident
37,27,9,L Speed,24,0,52,Accident
38,21,59,M Gibson,24,0,49,Accident
39,32,36,E Irvan,24,0,46,Accident
40,38,35,T Bodine,24,0,43,Retired
41,34,31,M Skinner,24,0,40,Accident
42,36,77,R Pressley,24,0,37,Valve
