F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,25,T Barron,75,74,185,Running
2,24,5,T Labonte,74,0,170,Running
3,9,88,D Jarrett,74,0,165,Running
4,27,2,R Wallace,74,0,160,Running
5,28,23,J Spencer,74,0,155,Running
6,34,42,J Nemechek,74,0,150,Running
7,25,97,C Little,74,0,146,Running
8,40,4,B Hamilton,74,0,142,Running
9,33,21,M Waltrip,74,0,138,Running
10,35,50,R Craven,73,0,134,Running
11,13,40,S Marlin,73,0,130,Running
12,39,22,W Burton,73,0,127,Running
13,37,59,M Gibson,73,0,124,Running
14,21,10,R Rudd,73,0,121,Running
15,36,30,D Cope,73,0,118,Running
16,41,28,K Irwin Jr.,73,0,115,Running
17,2,24,J Gordon,73,1,117,Running
18,15,81,K Wallace,73,0,109,Running
19,14,16,T Musgrave,73,0,106,Running
20,6,33,K Schrader,73,0,103,Running
21,8,11,B Bodine,73,0,100,Running
22,11,18,B Labonte,73,0,97,Running
23,20,7,G Bodine,72,0,94,Running
24,26,3,D Earnhardt,72,0,91,Running
25,12,36,E Irvan,72,0,88,Running
26,18,9,L Speed,72,0,85,Running
27,19,26,J Benson Jr.,72,0,82,Running
28,32,44,K Petty,72,0,79,Running
29,29,41,S Grissom,72,0,76,Running
30,30,31,M Skinner,71,0,73,Running
31,38,77,R Pressley,71,0,70,Running
32,23,12,J Mayfield,54,0,67,Running
33,3,01,C Barron,34,0,64,Running
34,4,94,B Elliott,30,0,61,Retired
35,16,91,K Lepage,29,0,58,Retired
36,7,99,J Burton,29,0,55,Retired
37,17,46,W Dallenbach Jr.,28,0,52,Accident
38,31,1,S Park,23,0,49,Running
39,5,6,M Martin,14,0,46,Accident
40,10,43,J Andretti,14,0,43,Accident
41,22,75,R Mast,13,0,40,No Fuel
