F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,25,T Barron,30,19,185,Running
2,2,17,M Kenseth,30,2,175,Running
3,11,99,J Burton,30,0,165,Running
4,12,29,K Harvick,30,0,160,Running
5,8,24,J Gordon,30,0,155,Running
6,4,02,C Barron,30,1,155,Running
7,5,20,T Stewart,30,8,151,Running
8,19,40,S Marlin,30,0,142,Running
9,3,88,D Jarrett,30,0,138,Running
10,6,8,D Earnhardt Jr.,30,0,134,Running
11,10,18,B Labonte,30,0,130,Running
12,17,2,R Wallace,30,0,127,Running
13,7,10,J Benson,30,0,124,Running
14,15,28,R Rudd,30,0,121,Running
15,22,26,J Spencer,30,0,118,Running
16,9,6,M Martin,30,0,115,Running
17,14,22,W Burton,30,0,112,Running
18,26,36,K Schrader,30,0,109,Running
19,16,55,B Hamilton,30,0,106,Running
20,33,21,E Sadler,30,0,103,Running
21,41,92,S Compton,30,0,100,Running
22,13,77,R Pressley,29,0,97,Running
23,31,15,M Waltrip,29,0,94,Running
24,23,19,C Atwood,29,0,91,Running
25,39,43,J Andretti,29,0,88,Running
26,38,90,H Stricklin,29,0,85,Running
27,34,33,J Nemechek,29,0,82,Running
28,18,5,T Labonte,29,0,79,Running
29,24,97,K Busch,29,0,76,Running
30,29,11,B Bodine,29,0,73,Running
31,32,32,R Craven,29,0,70,Running
32,35,4,K Lepage,29,0,67,Running
33,40,44,B Jones,29,0,64,Running
34,28,12,J Mayfield,29,0,61,Running
35,37,01,J Leffler,29,0,58,Running
36,27,7,M Wallace,29,0,55,Running
37,25,66,T Bodine,29,0,52,Running
38,42,45,K Petty,29,0,49,Running
39,21,93,D Blaney,29,0,46,Running
40,36,1,S Park,29,0,43,Running
41,30,14,R Hornaday,29,0,40,Running
42,20,9,B Elliott,29,0,37,Running
