F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,01,C Barron,49,44,185,Running
2,1,25,T Barron,49,5,175,Running
3,11,5,T Labonte,49,0,165,Running
4,13,18,B Labonte,49,0,160,Running
5,7,2,R Wallace,49,0,155,Running
6,4,99,J Burton,49,0,150,Running
7,19,97,C Little,49,0,146,Running
8,22,3,D Earnhardt,49,0,142,Running
9,23,11,B Bodine,49,0,138,Running
10,39,1,S Park,49,0,134,Running
11,41,28,K Irwin Jr.,48,0,130,Running
12,28,9,L Speed,48,0,127,Running
13,15,40,S Marlin,48,0,124,Running
14,25,90,D Trickle,48,0,121,Running
15,18,7,G Bodine,48,0,118,Running
16,24,81,K Wallace,48,0,115,Running
17,20,33,K Schrader,48,0,112,Running
18,5,6,M Martin,48,0,109,Running
19,8,88,D Jarrett,48,0,106,Running
20,12,26,J Benson Jr.,48,0,103,Running
21,9,94,B Elliott,48,0,100,Running
22,3,24,J Gordon,48,0,97,Running
23,30,43,J Andretti,48,0,94,Running
24,6,21,M Waltrip,48,0,91,Running
25,29,30,D Cope,48,0,88,Running
26,16,36,E Irvan,47,0,85,Running
27,38,75,R Mast,47,0,82,Running
28,35,35,T Bodine,47,0,79,Running
29,26,31,M Skinner,47,0,76,Running
30,42,71,D Marcis,47,0,73,Running
31,34,42,J Nemechek,47,0,70,Running
32,10,12,J Mayfield,45,0,67,Running
33,27,23,J Spencer,44,0,64,Running
34,32,4,B Hamilton,43,0,61,Running
35,36,44,K Petty,43,0,58,Running
36,17,91,K Lepage,23,0,55,Valve
37,14,16,T Musgrave,20,0,52,Accident
38,31,50,R Craven,20,0,49,Retired
39,21,10,R Rudd,19,0,46,Accident
40,40,22,W Burton,19,0,43,Accident
41,33,59,M Gibson,19,0,40,Accident
42,37,77,R Pressley,19,0,37,Accident
