F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,42,01,C Barron,29,9,185,Running
2,12,40,S Marlin,29,0,170,Running
3,35,81,K Wallace,29,0,165,Running
4,20,7,G Bodine,29,0,160,Running
5,36,9,L Speed,29,0,155,Running
6,38,44,K Petty,29,1,155,Running
7,11,12,J Mayfield,29,0,146,Running
8,30,30,D Cope,29,0,142,Running
9,21,42,J Nemechek,29,0,138,Running
10,28,50,R Craven,29,0,134,Running
11,19,10,R Rudd,29,3,135,Running
12,9,88,D Jarrett,29,0,127,Running
13,31,77,R Pressley,29,0,124,Running
14,7,33,K Schrader,29,1,126,Running
15,25,1,S Park,29,0,118,Running
16,8,43,J Andretti,29,0,115,Running
17,41,35,T Bodine,29,0,112,Running
18,1,24,J Gordon,29,0,109,Running
19,2,6,M Martin,29,5,111,Running
20,18,21,M Waltrip,29,0,103,Running
21,24,16,T Musgrave,29,0,100,Running
22,37,75,R Mast,29,0,97,Running
23,32,91,K Lepage,29,0,94,Running
24,26,11,B Bodine,29,0,91,Running
25,40,25,T Barron,29,0,88,Running
26,10,3,D Earnhardt,29,0,85,Running
27,34,31,M Skinner,29,0,82,Running
28,14,26,J Benson Jr.,29,0,79,Running
29,33,28,K Irwin Jr.,29,0,76,Running
30,13,4,B Hamilton,29,0,73,Running
31,16,97,C Little,29,0,70,Running
32,17,22,W Burton,29,0,67,Running
33,39,46,W Dallenbach Jr.,28,0,64,Running
34,4,99,J Burton,28,3,66,Running
35,3,18,B Labonte,25,6,63,Running
36,23,59,M Gibson,24,0,55,No Fuel
37,6,94,B Elliott,24,0,52,No Fuel
38,15,5,T Labonte,24,0,49,Running
39,29,36,E Irvan,21,0,46,Retired
40,5,2,R Wallace,19,1,48,Engine
41,22,23,J Spencer,5,0,40,Retired
42,27,90,D Trickle,5,0,37,Retired
