F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,25,T Barron,60,42,185,Running
2,6,6,M Martin,60,9,175,Running
3,8,3,D Earnhardt,60,5,170,Running
4,9,5,T Labonte,60,4,165,Running
5,14,01,C Barron,60,0,155,Running
6,11,12,J Mayfield,60,0,150,Running
7,10,4,B Hamilton,60,0,146,Running
8,4,18,B Labonte,60,0,142,Running
9,21,97,C Little,60,0,138,Running
10,41,22,W Burton,60,0,134,Running
11,16,43,J Andretti,60,0,130,Running
12,7,94,B Elliott,60,0,127,Running
13,18,16,T Musgrave,60,0,124,Running
14,24,7,G Bodine,60,0,121,Running
15,2,2,R Wallace,60,0,118,Running
16,5,99,J Burton,60,0,115,Running
17,30,11,B Bodine,60,0,112,Running
18,3,88,D Jarrett,60,0,109,Running
19,22,28,K Irwin Jr.,60,0,106,Running
20,29,50,R Craven,60,0,103,Running
21,27,91,K Lepage,60,0,100,Running
22,32,77,R Pressley,60,0,97,Running
23,12,1,S Park,59,0,94,Running
24,26,42,J Nemechek,59,0,91,Running
25,20,59,M Gibson,59,0,88,Running
26,40,41,S Grissom,59,0,85,Running
27,19,21,M Waltrip,59,0,82,Running
28,35,9,L Speed,59,0,79,Running
29,37,75,R Mast,59,0,76,Running
30,34,90,D Trickle,59,0,73,Running
31,31,26,J Benson Jr.,59,0,70,Running
32,33,46,W Dallenbach Jr.,59,0,67,Running
33,23,81,K Wallace,59,0,64,Running
34,15,23,J Spencer,59,0,61,Running
35,38,40,S Marlin,59,0,58,Running
36,36,36,E Irvan,59,0,55,Running
37,25,10,R Rudd,59,0,52,Running
38,42,31,M Skinner,58,0,49,Running
39,13,33,K Schrader,54,0,46,Running
40,17,44,K Petty,52,0,43,Retired
41,39,30,D Cope,50,0,40,Accident
42,28,24,J Gordon,22,0,37,Header
