F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,01,C Barron,60,31,185,Running
2,2,25,T Barron,60,18,175,Running
3,3,88,D Jarrett,60,8,170,Running
4,28,81,K Wallace,59,0,160,Running
5,8,24,J Gordon,59,0,155,Running
6,6,18,B Labonte,59,1,155,Running
7,7,99,J Burton,59,0,146,Running
8,36,6,M Martin,59,0,142,Running
9,4,2,R Wallace,59,0,138,Running
10,16,94,B Elliott,59,2,139,Running
11,24,33,K Schrader,59,0,130,Running
12,5,3,D Earnhardt,59,0,127,Running
13,13,12,J Mayfield,59,0,124,Running
14,23,43,J Andretti,59,0,121,Running
15,12,5,T Labonte,59,0,118,Running
16,11,40,S Marlin,59,0,115,Running
17,21,10,R Rudd,59,0,112,Running
18,14,36,E Irvan,59,0,109,Running
19,10,22,W Burton,59,0,106,Running
20,9,4,B Hamilton,59,0,103,Running
21,15,7,G Bodine,58,0,100,Running
22,31,77,R Pressley,58,0,97,Running
23,32,42,J Nemechek,58,0,94,Running
24,33,1,S Park,58,0,91,Running
25,35,21,M Waltrip,58,0,88,Running
26,19,59,M Gibson,58,0,85,Running
27,38,44,K Petty,58,0,82,Running
28,39,11,B Bodine,58,0,79,Running
29,20,16,T Musgrave,58,0,76,Running
30,34,50,R Craven,58,0,73,Running
31,27,28,K Irwin Jr.,58,0,70,Running
32,17,90,D Trickle,58,0,67,Running
33,37,23,J Spencer,58,0,64,Running
34,26,26,J Benson Jr.,58,0,61,Running
35,22,30,D Cope,58,0,58,Running
36,30,9,L Speed,58,0,55,Running
37,25,75,R Mast,58,0,52,Running
38,18,97,C Little,57,0,49,Running
39,29,31,M Skinner,56,0,46,Camshaft
