F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,4,40,S Marlin,56,6,180,Running
2,7,28,R Rudd,56,0,170,Running
3,9,18,B Labonte,56,0,165,Running
4,11,8,D Earnhardt Jr.,56,0,160,Running
5,6,20,T Stewart,56,39,165,Running
6,10,24,J Gordon,56,0,150,Running
7,12,29,K Harvick,56,0,146,Running
8,1,2,R Wallace,56,8,147,Running
9,5,88,D Jarrett,56,0,138,Running
10,27,5,T Labonte,56,0,134,Running
11,2,99,J Burton,56,0,130,Running
12,21,21,E Sadler,56,0,127,Running
13,16,55,B Hamilton,56,0,124,Running
14,15,22,W Burton,56,0,121,Running
15,23,15,M Waltrip,56,0,118,Running
16,32,4,K Lepage,56,0,115,Running
17,28,26,J Spencer,56,0,112,Running
18,8,9,B Elliott,56,0,109,Running
19,17,36,K Schrader,56,0,106,Running
20,39,25,T Barron,56,2,108,Running
21,20,92,S Compton,56,0,100,Running
22,29,1,S Park,56,0,97,Running
23,18,93,D Blaney,56,0,94,Running
24,40,02,C Barron,55,0,91,Running
25,13,17,M Kenseth,55,0,88,Running
26,31,43,J Andretti,54,0,85,Running
27,33,66,T Bodine,54,0,82,Running
28,37,7,M Wallace,52,0,79,Retired
29,19,32,R Craven,46,0,76,Retired
30,26,77,R Pressley,18,0,73,Retired
31,24,12,J Mayfield,18,0,70,Retired
32,3,10,J Benson,18,1,72,Retired
33,14,6,M Martin,18,0,64,Accident
34,25,11,B Bodine,17,0,61,Retired
35,22,19,C Atwood,17,0,58,Accident
36,34,01,J Leffler,17,0,55,Accident
37,38,27,K Wallace,17,0,52,Accident
38,35,14,R Hornaday,5,0,49,Retired
39,36,97,K Busch,5,0,46,Camshaft
40,30,33,J Nemechek,5,0,43,Ignition
