F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,5,2,R Wallace,75,2,180,Running
2,2,02,C Barron,75,0,170,Running
3,3,6,M Martin,75,0,165,Running
4,7,24,J Gordon,75,0,160,Running
5,21,8,D Earnhardt Jr.,75,0,155,Running
6,6,20,T Stewart,75,0,150,Running
7,13,19,J Mayfield,75,0,146,Running
8,9,30,J Green,75,0,142,Running
9,11,12,R Newman,75,0,138,Running
10,10,17,M Kenseth,75,0,134,Running
11,17,97,K Busch,75,0,130,Running
12,8,5,T Labonte,75,0,127,Running
13,4,88,D Jarrett,75,0,124,Running
14,22,48,J Johnson,75,0,121,Running
15,1,25,T Barron,74,73,128,Running
16,25,41,J Spencer,74,0,115,Running
17,19,31,R Gordon,74,0,112,Running
18,26,9,B Elliott,74,0,109,Running
19,12,32,R Craven,74,0,106,Running
20,15,40,S Marlin,74,0,103,Running
21,18,18,B Labonte,74,0,100,Running
22,35,55,B Hamilton,74,0,97,Running
23,34,28,R Rudd,73,0,94,Running
24,38,14,S Compton,73,0,91,Running
25,24,45,K Petty,73,0,88,Running
26,31,21,E Sadler,73,0,85,Running
27,42,44,S Grissom,73,0,82,Running
28,29,1,S Park,73,0,79,Running
29,28,10,J Benson,73,0,76,Running
30,41,23,K Wallace,72,0,73,Running
31,23,22,W Burton,72,0,70,Running
32,30,43,J Andretti,72,0,67,Running
33,32,26,T Bodine,72,0,64,Running
34,27,99,J Burton,71,0,61,Running
35,39,29,K Harvick,71,0,58,Running
36,36,15,M Waltrip,71,0,55,Running
37,20,36,K Schrader,50,0,52,Retired
38,14,77,D Blaney,40,0,49,Retired
39,16,7,C Atwood,39,0,46,Retired
40,40,09,G Bodine,38,0,43,Retired
41,37,11,B Bodine,38,0,40,Retired
42,33,4,M Skinner,15,0,37,Header
