F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,2,25,T Barron,75,28,180,Running
2,4,24,J Gordon,75,34,180,Running
3,14,2,R Wallace,75,0,165,Running
4,8,6,M Martin,75,0,160,Running
5,18,02,C Barron,75,0,155,Running
6,19,94,B Elliott,75,1,155,Running
7,6,28,R Rudd,75,0,146,Running
8,3,88,D Jarrett,74,0,142,Running
9,15,5,T Labonte,74,0,138,Running
10,26,77,R Pressley,74,0,134,Running
11,21,12,J Mayfield,74,0,130,Running
12,5,99,J Burton,73,0,127,Running
13,22,7,M Waltrip,73,0,124,Running
14,25,26,J Spencer,73,0,121,Running
15,41,90,R Mast,73,0,118,Running
16,20,1,S Park,73,0,115,Running
17,1,3,D Earnhardt,73,0,112,Running
18,11,10,J Benson,73,0,109,Running
19,27,66,D Waltrip,73,0,106,Running
20,30,43,J Andretti,73,0,103,Running
21,17,40,S Marlin,73,0,100,Running
22,35,97,C Little,73,0,97,Running
23,34,21,E Sadler,73,0,94,Running
24,38,32,S Pruett,72,0,91,Running
25,39,9,S Compton,72,0,88,Running
26,33,42,K Irwin Jr.,72,0,85,Running
27,16,17,M Kenseth,72,12,87,Running
28,29,44,K Petty,72,0,79,Running
29,32,71,D Marcis,72,0,76,Running
30,12,8,D Earnhardt Jr.,71,0,73,Running
31,28,01,T Musgrave,71,0,70,Running
32,9,31,M Skinner,71,0,67,Running
33,40,50,R Craven,70,0,64,Running
34,37,00,B Jones,70,0,61,Running
35,31,93,D Blaney,70,0,58,Running
36,24,11,B Bodine,69,0,55,Running
37,13,18,B LaBonte,64,0,52,Retired
38,7,22,W Burton,57,0,49,Retired
39,36,75,W Dallenbach,54,0,46,Retired
40,23,60,G Bodine,8,0,43,DQ
41,10,20,T Stewart,2,0,40,Accident
