F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,01,C Barron,75,72,185,Running
2,2,25,T Barron,75,3,175,Running
3,5,24,J Gordon,75,0,165,Running
4,7,3,D Earnhardt,75,0,160,Running
5,6,2,R Wallace,75,0,155,Running
6,11,5,T Labonte,75,0,150,Running
7,8,23,J Spencer,75,0,146,Running
8,4,88,D Jarrett,74,0,142,Running
9,9,43,J Andretti,74,0,138,Running
10,26,6,M Martin,73,0,134,Running
11,27,18,B Labonte,73,0,130,Running
12,10,99,J Burton,73,0,127,Running
13,31,40,S Marlin,73,0,124,Running
14,16,10,R Rudd,73,0,121,Running
15,42,77,R Pressley,73,0,118,Running
16,30,22,W Burton,73,0,115,Running
17,22,44,K Petty,73,0,112,Running
18,36,96,D Green,73,0,109,Running
19,13,12,J Mayfield,73,0,106,Running
20,37,31,M Skinner,73,0,103,Running
21,25,59,M Gibson,73,0,100,Running
22,17,91,K Lepage,72,0,97,Running
23,20,7,G Bodine,72,0,94,Running
24,12,90,D Trickle,72,0,91,Running
25,24,9,L Speed,72,0,88,Running
26,35,50,R Craven,72,0,85,Running
27,18,28,K Irwin Jr.,72,0,82,Running
28,19,4,B Hamilton,72,0,79,Running
29,40,75,R Mast,72,0,76,Running
30,38,1,S Park,72,0,73,Running
31,15,26,J Benson Jr.,71,0,70,Running
32,33,16,T Musgrave,71,0,67,Running
33,29,98,G Sacks,71,0,64,Running
34,28,11,B Bodine,62,0,61,Running
35,32,94,B Elliott,61,0,58,Running
36,14,36,E Irvan,61,0,55,Running
37,3,33,K Schrader,61,0,52,Running
38,23,97,C Little,60,0,49,Running
39,21,30,D Cope,30,0,46,Retired
40,34,42,J Nemechek,2,0,43,Retired
41,39,21,M Waltrip,2,0,40,Retired
42,41,35,T Bodine,2,0,37,Retired
