F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,41,25,T Barron,14,2,180,Running
2,3,24,J Gordon,14,0,170,Running
3,12,2,R Wallace,14,1,170,Running
4,32,12,J Mayfield,14,0,160,Running
5,42,01,C Barron,14,0,155,Running
6,2,88,D Jarrett,14,4,155,Running
7,30,28,K Irwin Jr.,14,2,151,Running
8,29,44,K Petty,14,0,142,Running
9,16,11,B Bodine,14,0,138,Running
10,6,3,D Earnhardt,14,0,134,Running
11,8,94,B Elliott,14,0,130,Running
12,35,41,S Grissom,14,0,127,Running
13,10,43,J Andretti,14,0,124,Running
14,40,5,T Labonte,14,0,121,Running
15,34,99,J Burton,14,0,118,Running
16,14,31,M Skinner,14,0,115,Running
17,26,98,G Sacks,14,0,112,Running
18,33,91,K Lepage,14,0,109,Running
19,21,50,R Craven,14,0,106,Running
20,9,4,B Hamilton,14,0,103,Running
21,4,40,S Marlin,14,0,100,Running
22,25,23,J Spencer,14,0,97,Running
23,7,1,S Park,14,0,94,Running
24,31,21,M Waltrip,14,0,91,Running
25,24,42,J Nemechek,14,0,88,Running
26,28,22,W Burton,14,0,85,Running
27,20,10,R Rudd,14,0,82,Running
28,39,77,R Pressley,14,0,79,Running
29,23,75,R Mast,14,0,76,Running
30,27,81,K Wallace,14,0,73,Running
31,18,18,B Labonte,14,0,70,Running
32,38,30,D Cope,14,0,67,Running
33,5,97,C Little,14,0,64,Running
34,22,26,J Benson Jr.,14,0,61,Running
35,17,16,T Musgrave,14,0,58,Running
36,13,33,K Schrader,13,0,55,Running
37,19,7,G Bodine,13,0,52,Running
38,15,36,E Irvan,13,0,49,Running
39,36,59,M Gibson,13,0,46,Running
40,11,9,L Speed,13,0,43,Running
41,37,90,D Trickle,13,0,40,Running
42,1,6,M Martin,10,5,47,Camshaft
