F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,40,24,J Gordon,75,2,180,Running
2,16,20,T Stewart,75,0,170,Running
3,25,26,J Spencer,75,0,165,Running
4,27,12,J Mayfield,75,0,160,Running
5,32,55,B Hamilton,75,0,155,Running
6,15,22,W Burton,75,0,150,Running
7,35,15,M Waltrip,74,0,146,Running
8,41,14,R Hornaday,74,0,142,Running
9,7,2,R Wallace,74,0,138,Running
10,10,8,D Earnhardt Jr.,74,0,134,Running
11,34,92,S Compton,74,0,130,Running
12,1,02,C Barron,73,42,137,Running
13,36,4,K Lepage,73,0,124,Running
14,8,10,J Benson,73,15,126,Running
15,24,43,J Andretti,73,0,118,Running
16,6,25,T Barron,73,15,120,Running
17,39,66,T Bodine,72,0,112,Running
18,26,93,D Blaney,72,0,109,Running
19,14,32,R Craven,72,0,106,Running
20,21,31,M Skinner,72,0,103,Running
21,19,21,E Sadler,71,0,100,Running
22,5,17,M Kenseth,71,0,97,Running
23,22,36,K Schrader,51,0,94,Running
24,13,5,T Labonte,50,0,91,Running
25,11,33,J Nemechek,19,0,88,Retired
26,29,1,S Park,19,0,85,Retired
27,28,19,C Atwood,19,0,82,Retired
28,31,11,B Bodine,19,0,79,Retired
29,30,7,M Wallace,19,0,76,Retired
30,12,28,R Rudd,19,0,73,Retired
31,37,44,B Jones,19,0,70,Retired
32,20,6,M Martin,19,0,67,Retired
33,2,18,B Labonte,19,1,69,Retired
34,17,99,J Burton,18,0,61,Accident
35,33,97,K Busch,18,0,58,Accident
36,18,9,B Elliott,18,0,55,Retired
37,38,01,J Leffler,18,0,52,Retired
38,9,29,K Harvick,18,0,49,Accident
39,23,77,R Pressley,16,0,46,Fuel Pmp
40,3,88,D Jarrett,7,0,43,Camshaft
41,4,40,S Marlin,3,0,40,Retired
