F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,7,25,T Barron,59,2,180,Running
2,19,02,C Barron,59,0,170,Running
3,1,3,D Earnhardt,59,28,170,Running
4,4,28,R Rudd,59,0,160,Running
5,8,6,M Martin,59,0,155,Running
6,15,40,S Marlin,59,0,150,Running
7,9,20,T Stewart,59,0,146,Running
8,11,10,J Benson,59,0,142,Running
9,10,31,M Skinner,59,0,138,Running
10,16,1,S Park,59,0,134,Running
11,2,88,D Jarrett,59,29,140,Running
12,3,24,J Gordon,59,0,127,Running
13,6,99,J Burton,59,0,124,Running
14,5,22,W Burton,59,0,121,Running
15,12,18,B LaBonte,59,0,118,Running
16,13,5,T Labonte,59,0,115,Running
17,20,17,M Kenseth,58,0,112,Running
18,17,8,D Earnhardt Jr.,58,0,109,Running
19,18,94,B Elliott,58,0,106,Running
20,36,60,G Bodine,58,0,103,Running
21,23,12,J Mayfield,58,0,100,Running
22,35,77,R Pressley,58,0,97,Running
23,30,93,D Blaney,58,0,94,Running
24,26,9,S Compton,58,0,91,Running
25,32,21,E Sadler,58,0,88,Running
26,34,00,B Jones,58,0,85,Running
27,21,01,T Musgrave,58,0,82,Running
28,28,7,M Waltrip,58,0,79,Running
29,27,50,R Craven,58,0,76,Running
30,31,97,C Little,57,0,73,Running
31,25,11,B Bodine,57,0,70,Running
32,29,66,D Waltrip,57,0,67,Running
33,24,75,W Dallenbach,57,0,64,Running
34,37,42,K Irwin Jr.,57,0,61,Running
35,41,90,R Mast,57,0,58,Running
36,22,26,J Spencer,57,0,55,Running
37,39,71,D Marcis,56,0,52,Running
38,38,44,K Petty,56,0,49,Running
39,33,32,S Pruett,56,0,46,Running
40,14,2,R Wallace,50,0,43,Retired
41,40,43,J Andretti,37,0,40,Header
