F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,4,28,R Rudd,24,2,180,Running
2,15,25,T Barron,24,4,175,Running
3,2,20,T Stewart,24,4,170,Running
4,9,18,B LaBonte,24,0,160,Running
5,3,99,J Burton,24,1,160,Running
6,10,24,J Gordon,24,0,150,Running
7,6,6,M Martin,24,0,146,Running
8,7,3,D Earnhardt,24,7,152,Running
9,8,22,W Burton,24,0,138,Running
10,19,94,B Elliott,24,0,134,Running
11,12,40,S Marlin,24,0,130,Running
12,17,1,S Park,24,0,127,Running
13,16,10,J Benson,24,0,124,Running
14,5,88,D Jarrett,24,0,121,Running
15,31,44,K Petty,24,0,118,Running
16,39,60,G Bodine,24,0,115,Running
17,34,7,M Waltrip,24,0,112,Running
18,21,26,J Spencer,24,0,109,Running
19,33,66,D Waltrip,24,0,106,Running
20,20,8,D Earnhardt Jr.,24,0,103,Running
21,27,32,S Pruett,24,0,100,Running
22,23,9,S Compton,24,0,97,Running
23,22,93,D Blaney,24,0,94,Running
24,25,50,R Craven,24,0,91,Running
25,26,77,R Pressley,24,0,88,Running
26,40,71,D Marcis,24,0,85,Running
27,28,97,C Little,24,0,82,Running
28,1,2,R Wallace,24,6,84,Running
29,11,5,T Labonte,24,0,76,Running
30,13,17,M Kenseth,24,0,73,Running
31,14,31,M Skinner,24,0,70,Running
32,29,90,R Mast,24,0,67,Running
33,35,00,B Jones,24,0,64,Running
34,32,75,W Dallenbach,24,0,61,Running
35,24,11,B Bodine,23,0,58,Running
36,30,01,T Musgrave,23,0,55,Running
37,41,42,K Irwin Jr.,21,0,52,Accident
38,18,02,C Barron,21,0,49,Accident
39,36,43,J Andretti,21,0,46,Accident
40,37,12,J Mayfield,21,0,43,Accident
41,38,21,E Sadler,21,0,40,Accident
