F,S,#,DRIVER,LAPS,,POINTS,STATUS
1,1,25,T Barron,49,23,185,Running
2,30,20,T Stewart,49,12,175,Running
3,2,6,M Martin,49,1,170,Running
4,13,48,J Johnson,49,0,160,Running
5,3,02,C Barron,49,0,155,Running
6,7,88,D Jarrett,49,5,155,Running
7,17,99,J Burton,49,0,146,Running
8,31,31,R Gordon,49,0,142,Running
9,5,9,B Elliott,49,0,138,Running
10,4,2,R Wallace,49,1,139,Running
11,18,32,R Craven,49,0,130,Running
12,20,17,M Kenseth,49,0,127,Running
13,8,15,M Waltrip,49,0,124,Running
14,10,8,D Earnhardt Jr.,49,0,121,Running
15,6,97,K Busch,49,5,123,Running
16,12,40,S Marlin,49,0,115,Running
17,27,5,T Labonte,49,0,112,Running
18,9,18,B Labonte,49,0,109,Running
19,14,12,R Newman,49,2,111,Running
20,11,28,R Rudd,49,0,103,Running
21,25,24,J Gordon,49,0,100,Running
22,28,29,K Harvick,49,0,97,Running
23,19,43,J Andretti,49,0,94,Running
24,22,45,K Petty,49,0,91,Running
25,35,21,E Sadler,49,0,88,Running
26,26,41,J Spencer,49,0,85,Running
27,21,30,J Green,49,0,82,Running
28,15,22,W Burton,49,0,79,Running
29,23,10,J Benson,49,0,76,Running
30,16,77,D Blaney,49,0,73,Running
31,32,19,J Mayfield,49,0,70,Running
32,33,55,B Hamilton,49,0,67,Running
33,29,4,M Skinner,49,0,64,Running
34,34,36,K Schrader,49,0,61,Running
35,38,1,S Park,49,0,58,Running
36,39,23,K Wallace,49,0,55,Running
37,24,11,B Bodine,49,0,52,Running
38,40,26,T Bodine,49,0,49,Running
39,42,16,G Biffle,48,0,46,Running
40,41,09,G Bodine,48,0,43,Running
41,36,7,C Atwood,48,0,40,Running
42,37,14,S Compton,48,0,37,Running
